tnsName,n_hosts,z_type,distance_Mpc,uncertainty_Mpc,lumdist_neg_err,lumdist_pos_err,gw_test_mean,gw_test_std,bc,bc_norm,Conditional JSD Metric,Consistent Probability,Improved Consistent Probability,Hybrid Consistent Probability,Hybrid BC/Tophat,Hybrid BC/Tophat V3,ra,dec,photoz,notes
AT2025xhb,3,photo-z,640.561005,165.48272854402418,165.48272854402418,165.48272854402418,6.126291683980149,1.9130271174558564,0.0038173059749365586,0.018221545075435393,0.00015530811813762037,0.055264214174354946,0.055264214174354946,0.055264214174354946,0.0038173059749365586,0.0038173059749365586,352.3902,-20.988,-,"transient-like (c,d)"
AT2025vyp,3,photo-z,338.073793,156.56039407817656,156.56039407817656,156.56039407817656,87.90016963249415,24.198948663248437,0.2960546751261624,0.45698354142439646,0.19711026728368772,0.429766002233981,0.4297660022339811,0.429766002233981,0.2960546751261624,0.2960546750345317,12.8853,-46.7011,-,"transient-like (b,d)"
AT2025abwx,4,photo-z,137.65290843197397,49.484227886693816,49.484227886693816,49.484227886693816,6.126291683980149,1.9130271174558564,0.04725375510061292,0.127491803497829,0.012071254944921917,0.18418367686864234,0.18418367686864234,0.18418367686864234,0.04725375510061292,0.04725375510061292,343.111,-14.6323,-,nuclear (c)
AT2025aazc,4,photo-z,454.33532662285455,235.6462209556084,235.6462209556084,235.6462209556084,6.126291683980149,1.9130271174558564,0.05170601986332512,0.293256318934422,0.013910094324357525,0.3416095959045047,0.3416095959045047,0.3416095959045047,0.05170601986332512,0.05170601986332512,351.2951,-21.0291,-,"transient-like (c,d)"
AT2025vof,3,photo-z,738.5679438738803,560.1860637870329,662.8159840206475,457.55614355341845,84.79141083999828,26.828741913448535,0.2611672268120168,0.6320674379748743,0.1668980445495655,0.6221698020262162,0.601646247512696,0.6221698020262162,0.2611672268120168,0.2611672268120168,352.0114,-13.6978,0.111,"transient-like (c,d)"
AT2024aeuy,5,photo-z,912.5567194636443,325.42297072662006,386.93197333298883,263.91396812025124,109.0517175344893,28.87206984639991,0.14419827062354112,0.27033602838654486,0.07042161823554607,0.3004708796567137,0.29486661778517065,0.3004708796567137,0.14419827062354112,0.14419827062354112,4.5991,-44.9641,0.163,"transient-like (c,d)"
AT2025wjk,6,spec-z,377.19864,0.06163635,0.06163635,0.06163635,93.18843643200783,29.287450697683788,4.00145321366616e-12,6.164661218712888e-11,3.8005263796685465e-22,1.24300464999842e-06,1.24300464999842e-06,1.24300464999842e-06,8.421182619546243e-15,0.005436417327214534,342.422,-8.891,-,"transient-like (a,b,d)"
AT2025mii,11,spec-z,1047.9523105023113,0.023597807358968104,0.023597807358968104,0.023597807358968104,88.90990712149406,32.534043651537885,1.7196363095241744e-96,5.867351234182124e-95,2.0316310964892382e-190,3.618093529645106e-49,3.618093529645106e-49,3.618093529645106e-49,1.247297962536548e-99,0.0007812647867924355,339.6744,0.2168,0.202,"nuclear (c,d)"
AT2025adil,9,photo-z,849.1226093369082,438.3943793283836,563.8285742437074,312.96018441305984,110.38839565655121,41.040608945691936,0.28778076987770906,0.521093614824192,0.1906444805537977,0.5135134298785707,0.49417051953412017,0.5135134298785707,0.28778076987770906,0.28778076987770906,4.9861,-42.849,0.145,"transient-like (b,d)"
AT2025adjw,4,photo-z,2525.8859100292566,964.1489920599527,1056.8469116175743,871.451072502331,93.37737027779934,25.602949665495085,0.061338836978054534,0.19487556781533505,0.018535408405560495,0.24993988245871446,0.24705580889954848,0.24993988245871446,0.061338836978054534,0.061338836978054534,33.5605,-54.15,0.313,"nuclear (a,d)"
AT2025adkm,3,spec-z,914.6316,2.4422748,2.4422748,2.4422748,104.93426091381855,25.766889406269318,2.3931672653553796e-107,5.521141227646594e-107,1.9984014443252818e-16,3.774927643469396e-55,3.774927643469396e-55,3.774927643469396e-55,2.2683266156838748e-108,0.0006851584855097779,7.7313,-39.6507,0.09,"transient-like (c,d)"
AT2025aiki,2,photo-z,3733.4974996868773,796.2265678057669,848.2148825181978,744.238253093336,114.41466092715343,40.166338483262486,0.00333454031652016,0.007968102963021112,0.0001309534856448913,0.0330920507757442,0.03307854163326728,0.0330920507757442,0.00333454031652016,0.00333454031652016,3.9504,-42.2778,0.364,nuclear (c)
AT2025adin,4,photo-z,98.13165667566876,18.083621432638633,21.965971209370664,14.201271655906602,97.0588738174152,24.680694804349006,0.9648242780162978,0.9931051467969876,0.9968094395796965,0.9870472203614887,0.9861575815343775,0.9860450045556528,0.9742266396867836,0.9909921202740336,31.0235,-51.6365,0.019*,"transient-like (b,d)"
AT2025admd,7,photo-z,535.1851785276907,175.13813208675805,195.4884303518134,154.78783382170266,92.87928701889567,22.67490677974044,0.14308621886755843,0.23565796217604823,0.06979196265283542,0.2611191417883598,0.25775967868805105,0.2611191417883598,0.14308621886755843,0.14308621886726347,345.8632,-11.0341,-,"transient-like (c,d)"
AT2025adqf,5,spec-z,361.1851,0.0673986,0.0673986,0.0673986,90.63645916763045,21.747927598624063,1.2404700906356555e-18,1.575424035249432e-17,-1.9984014443252818e-16,4.969274816678936e-10,4.969274816678936e-10,4.969274816678936e-10,3.844317904387627e-21,0.0037056841537542124,344.8881,-9.4662,0.211,"transient-like (b,d)"
AT2025adqe,13,photo-z,4159.511976506004,2622.581483787203,2869.595174418302,2375.5677931561036,81.75046912544727,22.735237060347806,0.0824483169181911,0.44879275106520555,0.9374419555179772,0.4774007425419877,0.46765593166642094,0.4774007425419877,0.0824483169181911,0.0824483169181911,342.2308,-0.6142,0.273,"transient-like (b,d)"
AT2025ailc,1,photo-z,1906.6848612988506,104.50904066088583,100.17262557249109,108.84545574928056,91.47411854368326,23.334909820951744,9.926768363001723e-35,1.377988028565669e-34,0.0,1.1028690321513066e-18,1.1028690321513066e-18,1.1028690321513066e-18,9.926768363001723e-35,1.071196790617868e-10,33.8628,-49.8144,0.367,transient-like (b)
AT2025ailf,2,photo-z,1800.303292307564,293.64530772160856,351.51829067592246,235.77232476729472,102.95026607615773,27.039114736133744,0.001300438722583756,0.002403025592991783,2.918619778028431e-05,0.01607510895815728,0.01607422979663414,0.01607510895815728,0.001300438722583756,0.001300438722583756,11.8653,-44.0097,0.417,nuclear (a)
AT2025aild,5,photo-z,870.7995414963519,326.8314465923681,366.7040188826528,286.95887430208336,92.80723911058524,23.984753027060034,0.12501297906216097,0.25429094541169206,0.05677409653176202,0.2898144444949301,0.2853659922406043,0.2898144444949301,0.12501297906216097,0.12501297906216097,30.4926,-49.3871,-,transient-like (c)
AT2025aili,3,photo-z,617.9564685397924,169.73228796597837,169.73228796597837,169.73228796597837,93.15654526268305,25.446156099240063,0.05221745193501938,0.08151750515588654,0.015272484525622654,0.12629473622195247,0.12629473622195247,0.12629473622195247,0.05221745193501938,0.05221745192786783,352.8751,-25.2769,-,transient-like (c)
AT2025aile,6,photo-z,3787.3505178446335,3391.445902202877,3194.3611487851986,3588.5306556205555,104.54885423575232,26.535902804176,0.09491802992979306,,0.9777030765714723,0.5643220960613201,0.5752133020458325,0.5643220960613201,0.09491802992979306,0.09491802992979306,6.4582,-39.459,0.22,transient-like (c)
AT2025ailh,4,photo-z,3131.4412100978816,640.2562726562012,733.8749039564698,546.6376413559327,94.03900739179608,31.66500049608208,0.004319876292765142,0.01034254636778848,0.00020413934854034423,0.03868667833223778,0.038667166065421144,0.03868667833223778,0.004319876292765142,0.004319876292765142,11.1327,-37.4762,0.251,transient-like (b)
AT2025ailj,2,photo-z,9434.954124482441,2362.8490632952826,2393.5555158753778,2332.142610715188,107.67441084709152,28.734740532965933,0.003490808747053637,0.020843162177626464,0.00021379837671363646,0.05138209404132377,0.051366594340987407,0.05138209404132377,0.003490808747053637,0.003490808747053637,5.0313,-35.5348,0.301,transient-like (c)
AT2025ailg,8,spec-z,940.6700496936153,0.12626971196431874,0.12626971196431874,0.12626971196431874,85.29437794358506,27.873085029713582,5.367807805514173e-104,5.636233451359569e-103,1.9984014443252818e-16,3.8875116501062114e-53,3.8875116501062114e-53,3.8875116501062114e-53,2.4317062311529186e-106,0.0007228890776277922,340.7488,-1.6196,0.921,stellar/nuclear (c)
AT2025ailk,6,photo-z,2657.702588155714,619.1551460315457,733.3470852663299,504.96320679676126,103.06487780829667,25.343219842729322,0.013794239285852983,0.035924663118946445,0.0015543598032319971,0.08173150755907131,0.08156652131177715,0.08173150755907131,0.013794239285852983,0.013794239285852983,13.4689,-41.8303,-,nuclear (c)
AT2025aill,3,photo-z,1286.0248149542936,1443.5111735207204,1195.4434063035897,1691.578940737851,98.63091021682095,28.69857456867417,0.16460844194752788,,0.08576502062315909,0.6195485933468927,0.6612395122860157,0.6195485933468927,0.16460844194752788,0.16460844194752788,38.7231,-57.9901,-,transient-like (c)
AT2025ailo,2,photo-z,4411.585077323079,646.0301859710703,646.0301859710703,646.0301859710703,100.69113558248611,26.630748751890273,4.270885190295501e-06,1.1200867147626299e-05,7.698335968697734e-10,0.0008572425009758949,0.0008572425009758949,0.0008572425009758949,4.270885190295501e-06,4.270885190295501e-06,352.6156,-21.3053,-,transient-like (c)
AT2025ailm,3,photo-z,2587.9401824870156,1665.210113407963,1981.600473327337,1348.819753488589,92.62887608853143,25.65514160499302,0.12481288136274608,0.5098676216645045,0.05656976232098643,0.5289776434822826,0.5116042178400748,0.5289776434822826,0.12481288136274608,0.12481288136274608,33.0616,-54.6792,0.464,transient-like (c)
AT2025ailn,4,spec-z,354.70035,0.9777714,0.9777714,0.9777714,101.14618053230063,26.600325478881697,3.81364770283703e-11,1.4074339594089858e-10,1.8630920840149165e-21,1.909430409459861e-06,1.909430409459861e-06,1.909430409459861e-06,1.4018157997616021e-12,0.0055576803579604215,13.1636,-45.0198,-,"nuclear (a,b)"
AT2025ailp,6,photo-z,643.9447070136163,300.84957363717484,367.8113544025784,233.88779287177127,88.69643729076233,24.228285896810217,0.23197331256469722,0.4503581064336346,0.14089841888300128,0.45134891285030665,0.4372299079066174,0.45134891285030665,0.23197331256469722,0.23197331256469722,36.1916,-55.4659,0.166,nuclear; transient-like (b)
AT2025ailr,1,photo-z,1297.7629553943261,496.4499929583941,496.4499929583941,496.4499929583941,105.21218633382315,37.15684722093754,0.09071142009776408,0.18355205640390057,0.0343747370541334,0.23102276254114684,0.23102276254114684,0.23102276254114684,0.09071142009776408,0.09071142009776408,354.3794,-21.466,-,nuclear (c)
AT2025ailq,2,photo-z,6261.134022537282,2206.3824337873093,2410.1968631604523,2002.5680044141666,102.79731863090505,25.642658498292548,0.02982354035879219,0.14217188816761056,0.9175290382346006,0.20143052291196129,0.19970313030807663,0.20143052291196129,0.02982354035879219,0.02982354035879219,4.7717,-34.3991,-,nuclear (c)
AT2025ails,4,photo-z,851.3650056375009,646.6562553852143,665.366916202221,627.9455945682076,107.11901953298855,29.88719661681129,0.23357072727895065,0.5801825749570835,0.1424104048660438,0.576358625948403,0.5719649714933515,0.576358625948403,0.23357072727895065,0.23357072727895065,1.8871,-35.6877,0.413,"transient-like; nuclear (a,b)"
AT2025ailz,2,photo-z,1572.8189679712707,471.82589839084886,471.82589839084886,471.82589839084886,99.06916979736697,26.18001410570027,0.029169262860630176,0.06721419190335103,0.005548588280834022,0.11891282880380209,0.11891282880380209,0.11891282880380209,0.029169262860630176,0.029169262860630176,349.9446,-18.2149,-,nuclear (c)
AT2025ailu,7,photo-z,1259.8575897116327,293.2749639155295,293.2749639155295,293.2749639155295,89.30641461772727,29.227830057837586,0.008553520542555525,0.015377363278731038,0.000767428189103403,0.047053598150596176,0.047053598150596176,0.047053598150596176,0.008553520542555525,0.008553520542555523,349.9378,-11.0639,0.31,transient-like (c)
AT2025ailw,4,photo-z,3436.1464141750625,1270.1455605788942,1270.1455605788942,1270.1455605788942,85.02900727148416,23.04324001500359,0.03336077003405099,0.1276944824344925,0.006823212624202779,0.18717936976616756,0.18717936976616756,0.18717936976616756,0.03336077003405099,0.03336077003405099,341.7785,-5.2592,0.353,"transient-like, nuclear (b)"
AT2025aily,3,photo-z,6524.381765103309,4112.62750958102,3146.676935360981,5078.578083801059,106.67336024350321,25.60093270302651,0.03967287439350525,,0.958096560749675,0.3078584690586873,0.3572416665507696,0.3078584690586873,0.03967287439350525,0.03967287439350525,1.4555,-34.251,-,transient-like (c)
AT2025ailx,5,photo-z,1757.3339943154417,636.3610312329836,636.3610312329836,636.3610312329836,90.83077999737931,21.833484842800317,0.04723775199112505,0.1348503694772333,0.012207541876648787,0.19065946644818543,0.19065946644818543,0.19065946644818543,0.04723775199112505,0.04723775199112505,345.1107,-9.1446,0.481,nuclear (c)
AT2025ailt,9,spec-z,940.132887623705,0.049804397327797116,0.049804397327797116,0.049804397327797116,91.8501537804109,29.246852898528086,2.6880725429155605e-93,4.567036051450367e-92,-1.9984014443252818e-16,1.1750132169305288e-47,1.1750132169305288e-47,1.1750132169305288e-47,4.577512439981064e-96,0.0008058892041364897,342.219,-8.3411,0.226,nuclear (b)
AT2025ailv,11,spec-z,292.01154,0.032124754,0.032124754,0.032124754,86.76442363661921,22.27701597393305,3.2626461887837244e-11,5.263511008640492e-10,3.6903571858301026e-20,4.091164524033273e-06,4.091164524033273e-06,4.091164524033273e-06,4.704925755153103e-14,0.005848251793867876,348.1483,-10.4695,0.297,"transient-like, nuclear (b)"
AT2025aima,1,photo-z,3557.0436594913117,205.41738662851358,205.41738662851358,205.41738662851358,99.6788910596497,32.723228292060064,5.63475162272681e-31,8.493055034532612e-31,0.0,9.515996053888269e-17,9.515996053888269e-17,9.515996053888269e-17,5.63475162272681e-31,4.3685939959009834e-14,352.0986,-18.2493,-,nuclear (c)
AT2025aimb,2,photo-z,9642.59753208925,2556.459960209293,2937.4868570312406,2175.433063387345,96.40808031551371,25.058660268600995,0.00996307442355377,0.06385356306443658,0.8152176553344004,0.1041984754435954,0.10384611696907775,0.1041984754435954,0.00996307442355377,0.00996307442355377,36.6153,-52.9123,-,"nuclear (a,b)"
AT2025aimh,1,photo-z,1540.9494199501057,181.87047915756762,187.22086499327605,176.52009332185915,99.87841547773758,26.250316450785835,2.6139464381652504e-07,4.1397067464669357e-07,5.2774984382608635e-11,0.0001382352674305732,0.00013823526618951757,0.0001382352674305732,2.6139464381652504e-07,2.6139465567566297e-07,13.7904,-45.917,-,"transient-like (a,b)"
AT2025aimf,8,photo-z,130.39186280281191,391.94578844665625,391.94578844665625,391.94578844665625,91.3058355388157,30.175506685920432,0.4841509206123846,0.9670346271127906,0.42161342054040674,0.9603499781507977,0.9603499781507977,0.9603499781507977,0.4841509206123846,0.4841509206123846,349.1835,-9.0462,-,transient-like (c)
