tnsName,z_type,distance_Mpc,uncertainty_Mpc,lumdist_neg_err,lumdist_pos_err,gw_test_mean,gw_test_std,width_ratio,rel_offset,asym_pos_over_neg,shape_category,shape_match_dist,Hybrid BC/Tophat V3,Hybrid BC/Tophat,photoz
AT2025aimy,spec-z,132.6436,1.2792869,1.2792869,1.2792869,108.20648931966024,35.90517676485672,0.035629594817985714,0.6806013194247332,1.0,asymmetric_pdf_deltafunc,1.1042564180652392,0.9782727877555102,0.9728428108896108,0.032*
AT2025aimz,spec-z,140.14,0.89162415,0.89162415,0.89162415,102.09657653671565,26.421819309566757,0.033745751553041714,1.4398487483982474,1.0,asymmetric_pdf_deltafunc,1.1556798127265548,0.9451483483514038,0.9714751279026334,-
AT2025aina,spec-z,49.29492,0.6461045,0.6461045,0.6461045,107.4283939551573,32.35107556345118,0.019971654380787893,-1.7969564517611878,1.0,asymmetric_pdf_deltafunc,1.5191091386902043,0.8782872396598846,0.9804357891052244,-
AT2025ailn,spec-z,354.70035,0.9777714,0.9777714,0.9777714,101.14618053230063,26.600325478881697,0.03675787353715893,9.531995000173925,1.0,asymmetric_pdf_deltafunc_offset,1.080936333575673,0.0055576803579604,1.4018157997616021e-12,-
AT2025adkm,spec-z,914.6316,2.4422748,2.4422748,2.4422748,104.93426091381856,25.76688940626932,0.09478345490184671,31.423945914448435,1.0,asymmetric_pdf_deltafunc_offset,1.2660866920631526,0.0006851584855097,2.2683266156838748e-108,0.09
AT2025wjk,spec-z,377.19864,0.06163635,0.06163635,0.06163635,93.18843643200783,29.287450697683788,0.002104531071558049,9.69733441464925,1.0,asymmetric_pdf_deltafunc_offset,1.497135580356655,0.0054364173272145,8.421182619546243e-15,-
AT2025ailv,spec-z,292.01154,0.032124754,0.032124754,0.032124754,86.76442363661921,22.27701597393305,0.0014420582198975867,9.213402576159488,1.0,asymmetric_pdf_deltafunc_offset,1.500849890196155,0.0058482517938678,4.7049257551531036e-14,0.297
AT2025adqf,spec-z,361.1851,0.0673986,0.0673986,0.0673986,90.63645916763043,21.747927598624063,0.0030990814961267456,12.440203306980223,1.0,asymmetric_pdf_deltafunc_offset,1.53794304302192,0.0037056841537542,3.844317904387627e-21,0.211
AT2025aimc,spec-z,3151.6429615517904,0.5600347508105195,0.5600347508105195,0.5600347508105195,88.77451317753122,27.96807903049104,0.02002406923264071,109.51300749097189,1.0,asymmetric_pdf_deltafunc_offset,1.894454514188605,5.869026664758986e-05,0.0,-
AT2025mii,spec-z,1047.952310502311,0.0235978073589681,0.0235978073589681,0.0235978073589681,88.90990712149406,32.534043651537885,0.000725326602856901,29.478118786979714,1.0,asymmetric_pdf_deltafunc_offset,1.8951150511178785,0.0007812647867924,1.247297962536548e-99,0.202
AT2025ailg,spec-z,940.6700496936152,0.1262697119643187,0.1262697119643187,0.1262697119643187,85.29437794358506,27.873085029713582,0.004530166353301445,30.6882309883593,1.0,asymmetric_pdf_deltafunc_offset,1.8951150511178785,0.0007228890776277,2.4317062311529186e-106,0.921
